aducible,  , a ,aducíbel ,
adulterábel,  , a ,adulterable ,
adulterable,  , a ,adulterábel ,
advido, advida , pt a ,advindo ,advir
advindo, advinda , pt a ,advido ,advir
adxectivábel,  , a ,adxectivable ,
adxectivable,  , a ,adxectivábel ,
adxudicábel,  , a ,adxudicable ,
adxudicable,  , a ,adxudicábel ,
aerotransportábel,  , a ,aerotransportable ,
aerotransportable,  , a ,aerotransportábel ,
afábel,  , a ,afable ,
afabelmente,  , av ,afablemente ,
afable,  , a ,afábel ,
afablemente,  , av ,afabelmente ,
afeminadamente,  , av ,efeminadamente=> ,
afeminado,  , pt a ,efeminado=> ,
afeminamento,  , m ,efeminamento=> ,
afeminar,  , t pr ,efeminar=> ,
afialápices,  , m ,afialapis> ,
afialapis,  , m ,aguzalapis ,
aficionado, aficionada , a s ,afeccionado=> ,
aforcar,  , t pr ,enforcar ,
afoscar,  , t i ,afuscar> ,
afuadoiro,  , m ,afungadoiro=> ,
afuar,  , t ,afungar=> ,
afumadoiro2,  , m ,abruón afungadoiro fungadoiro refungadoiro ,lat 'funis' 'corda'
afumar2,  , t ,afungar ,lat 'funis' 'corda'
afungadoiro,  , m ,abruón afumadoiro2 fungadoiro refungadoiro ,
afungar,  , t ,afumar2 ,
Ag,  , sb ,prata1 ,
aga,  , pp ,agás ,
agabitar,  , t ,abordelar acamboar atreixar solear ,
agámico, agámica , a ,ágamo ,
ágamo, ágama , a ,agámico ,
agás,  , pp ,aga ,
agatuñar,  , t i ,i engatar gabear gapear gatear ,
aglutinábel,  , a ,aglutinable ,
aglutinable,  , a ,aglutinábel ,
agoadizo, agoadiza , a ,degoado ,
agoar,  , t ,degoar ,
agochar,  , t pr ,acochar ,
agocho,  , m ,acocho ,
agomar,  , i ,agromar ,
agradábel,  , a ,agradable ,
agradabelmente,  , av ,agradablemente ,
agradable,  , a ,agradábel ,
agradablemente,  , av ,agradabelmente ,
agradar2,  , t ,gradar ,grade
agrade,  , f ,grade ,
agramar,  , t ,gramar=> ,
agregábel,  , a ,agregable ,
agregable,  , a ,agregábel ,
agretar,  , i pr ,degresar degretar ,
agromar,  , i ,agomar ,
agruar,  , i ,aturular aturuxar grixar ufar ,
agrume,  , m ,agrura ,
agrúo,  , m ,aturulo aturuxo grixido ufido ,
agrupábel,  , a ,agrupable ,
agrupable,  , a ,agrupábel ,
agrura,  , f ,agrume ,
agua,  , f ,auga=> ,
agua-,  , pref ,auga- ,
aguia,  , f ,aiga ,
aguillar,  , t ,aguilloar ,
aguilloar,  , t ,aguillar ,
agurgullar,  , i ,gurgullar=> ,
aguzalapis,  , m ,afialapis ,
aiga,  , f ,aguia ,
aínda,  , av c ,inda ,
aira,  , f ,eira ,
airada,  , f ,eirada ,
airadamente,  , av ,iradamente> ,
airado1,  , m ,eirado ,
airado2, airada , a ,irado> ,
airbag,  , m ,coxín de seguridade ,ing. [xxxx]
aire,  , m ,ar ,
airoa,  , f ,eiroa ,
Al,  , sb ,aluminio ,
ala1,  , f ,á2 ,
alagamento,  , m ,empozamento ,
alambrada,  , f ,aramado> ,
alambrar,  , t ,aramar> ,
alampar,  , i ,alaparear ,
alancada,  , f ,chancada zancada ,
alancar,  , i ,achancar azancar ,
alaparear,  , i ,alampar ,
alarido,  , m ,gallamouto ,
alavés, alavesa , a s ,arabés=> ,Álava
albanelaría,  , f ,albanelería ,
albanelería,  , f ,albanelaría ,
albaroque,  , m ,robra ,
albear,  , t i ,branquear ,
albedro,  , m ,érbedo ,
albeitaría,  , f ,albeitería ,
albeitería,  , f ,albeitaría ,
alborecer,  , i ,alborexar ,
alborexar,  , i ,alborecer ,
albugo,  , m ,albuxe> ,
alcaiotaría,  , f ,alcaiotería ,
alcaiotería,  , f ,alcaiotaría ,
alcanzábel,  , a ,alcanzable ,
alcanzable,  , a ,alcanzábel ,
alcipreste,  , m ,ciprés ,
alcohol,  , m ,alcol ,
alcohol-,  , pref ,alcol- ,
alcol,  , m ,alcohol ,
alcol-,  , pref ,alcohol- ,alcohol
alcorán,  , m ,corán ,
alcrique,  , m ,pataguillón ,
alcumar,  , t pr ,alcuñar ,
alcume,  , m ,alcuño ,
alcuñar,  , t pr ,alcumar ,
alcuño,  , m ,alcume ,
alegábel,  , a ,alegable ,
alegable,  , a ,alegábel ,
aleira,  , f ,embelga ,
aleirar,  , t ,embelgar ,
alerce,  , m ,lárice ,
alforxón,  , m ,froxón=> ,
alga,  , f ,olga ,
alicantino, alicantina , a s ,alacantino=> ,
alicate,  , m ,alicates ,
alicates,  , mpl ,alicate ,
alicerce,  , m ,cimento ,
alicerzar,  , t pr ,cimentar ,
alicorno,  , m ,unicornio ,
alienábel,  , a ,alienable ,
alienable,  , a ,alienábel ,
alimpar,  , t i pr ,limpar=> ,
alindar,  , t ,apacentar ,linde
alleábel,  , a ,alleable ,
alleable,  , a ,alleábel ,
almacenábel,  , a ,almacenable ,
almacenable,  , a ,almacenábel ,
almafí,  , m ,marfil ,
almeiro,  , m ,armeiro> ,
almíbar,  , m ,caldo de azucre> ,
almidón,  , m ,amidón> ,
almorávide,  , a s ,almorábide> ,
almorta,  , f ,pedrelo> ,
alomenos,  , av ,polo menos> ,
alongábel,  , a ,alongable ,
alongable,  , a ,alongábel ,
altavoz,  , m ,altofalante> ,
alterábel,  , a ,alterable ,
alterable,  , a ,alterábel ,
altivez,  , f ,altiveza ,
